13:55:18  [main] 	Initializing Control Panel
13:55:18  [main] 	Windows Version:  Enterprise  64-bit
13:55:18  [main] 	XAMPP Version: 8.2.12
13:55:18  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
13:55:18  [main] 	You are not running with administrator rights! This will work for
13:55:18  [main] 	most application stuff but whenever you do something with services
13:55:18  [main] 	there will be a security dialogue or things will break! So think 
13:55:18  [main] 	about running this application with administrator rights!
13:55:18  [main] 	XAMPP Installation Directory: "c:\users\luissaavaz\desktop\efdesarrolloweb\servidor\"
13:55:18  [main] 	Checking for prerequisites
13:55:20  [main] 	All prerequisites found
13:55:20  [main] 	Initializing Modules
13:55:20  [mercury] 	Problem detected!
13:55:20  [mercury] 	Port 25 in use by ""C:\Program Files (x86)\hMailServer\Bin\hMailServer.exe" RunAsService" with PID 4200!
13:55:20  [mercury] 	Mercury WILL NOT start without the configured ports free!
13:55:20  [mercury] 	You need to uninstall/disable/reconfigure the blocking application
13:55:20  [mercury] 	or reconfigure Mercury and the Control Panel to listen on a different port
13:55:20  [mercury] 	Problem detected!
13:55:20  [mercury] 	Port 110 in use by ""C:\Program Files (x86)\hMailServer\Bin\hMailServer.exe" RunAsService" with PID 4200!
13:55:20  [mercury] 	Mercury WILL NOT start without the configured ports free!
13:55:20  [mercury] 	You need to uninstall/disable/reconfigure the blocking application
13:55:20  [mercury] 	or reconfigure Mercury and the Control Panel to listen on a different port
13:55:20  [mercury] 	Problem detected!
13:55:20  [mercury] 	Port 143 in use by ""C:\Program Files (x86)\hMailServer\Bin\hMailServer.exe" RunAsService" with PID 4200!
13:55:20  [mercury] 	Mercury WILL NOT start without the configured ports free!
13:55:20  [mercury] 	You need to uninstall/disable/reconfigure the blocking application
13:55:20  [mercury] 	or reconfigure Mercury and the Control Panel to listen on a different port
13:55:20  [main] 	Starting Check-Timer
13:55:20  [main] 	Control Panel Ready
13:55:25  [Apache] 	Attempting to start Apache app...
13:55:25  [Apache] 	Status change detected: running
13:55:33  [mysql] 	Attempting to start MySQL app...
13:55:34  [mysql] 	Status change detected: running
13:56:22  [mysql] 	Attempting to stop MySQL app...
13:56:22  [mysql] 	Status change detected: stopped
13:56:25  [Apache] 	Attempting to stop Apache (PID: 18192)
13:56:25  [Apache] 	Attempting to stop Apache (PID: 15292)
13:56:25  [Apache] 	Status change detected: stopped
14:01:58  [main] 	Deinitializing Modules
14:01:58  [main] 	Deinitializing Control Panel

